date,android,ios
2019-02-28,0.0401,0.083
2019-02-27,0.0411,0.0826
2019-02-26,0.0347,0.0822
2019-02-25,0.0362,0.0841
2019-02-24,0.0402,0.0867
2019-02-23,0.0409,0.0884
2019-02-22,0.0395,0.0853
2019-02-21,0.0313,0.08
2019-02-20,0.0392,0.0758
2019-02-19,0.0401,0.0814
2019-02-18,0.0348,0.0755
2019-02-17,0.0353,0.0813
2019-02-16,0.0477,0.0856
2019-02-15,0.0389,0.0773
2019-02-14,0.0319,0.0665
2019-02-13,0.0412,0.07
2019-02-12,0.0329,0.0753
2019-02-11,0.0304,0.0824
2019-02-10,0.0322,0.0802
2019-02-09,0.0337,0.078
2019-02-08,0.0372,0.0833
2019-02-07,0.0318,0.0749
2019-02-06,0.029,0.0745
2019-02-05,0.0309,0.0762
2019-02-04,0.0317,0.079
2019-02-03,0.0329,0.087
2019-02-02,0.0288,0.0894
2019-02-01,0.0302,0.0774
2019-01-31,0.0335,0.0758
2019-01-30,0.0407,0.0808
2019-01-29,0.0352,0.0697
2019-01-28,0.0443,0.0736
2019-01-27,0.0387,0.0845
2019-01-26,0.0311,0.0814
2019-01-25,0.0332,0.0754
2019-01-24,0.0312,0.0701
2019-01-23,0.0454,0.0749
2019-01-22,0.0402,0.0847
2019-01-21,0.0389,0.0797
2019-01-20,0.0325,0.0744
2019-01-19,0.029,0.0783
2019-01-18,0.0354,0.0795
2019-01-17,0.0367,0.0767
2019-01-16,0.0473,0.0808
2019-01-15,0.0361,0.0761
2019-01-14,0.0271,0.075
2019-01-13,0.0273,0.0763
2019-01-12,0.027,0.0749
2019-01-11,0.025,0.0726
2019-01-10,0.0267,0.0708
2019-01-09,0.0257,0.0717
2019-01-08,0.0235,0.0725
2019-01-07,0.0248,0.0756
2019-01-06,0.0305,0.078
2019-01-05,0.0236,0.0769
2019-01-04,0.0247,0.0773
2019-01-03,0.0263,0.0773
2019-01-02,0.0293,0.0834
2019-01-01,0.0322,0.09
